horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
10000,100.0,84,0.011127239856869755,0.01147,0.011224521534281436,0.00034276014313024475,9.728167741168171e-05
10000,100.0,85,0.013112027382426528,0.01236,0.01320531945209642,0.0007520273824265285,9.329206966989141e-05
10000,100.0,86,0.01526964429123989,0.01571,0.015355022618716562,0.0004403557087601078,8.537832747667132e-05
10000,100.0,87,0.017576135319081653,0.01772,0.017649451285882054,0.0001438646809183465,7.331596680040103e-05
10000,100.0,88,0.01999910806004649,0.020275,0.020056194643045686,0.0002758919399535112,5.708658299919539e-05
10000,100.0,89,0.022498145396410867,0.023055,0.022535050160727425,0.0005568546035891325,3.690476431655876e-05
10000,100.0,90,0.0250257148174106,0.02472,0.02503894462302893,0.0003057148174105996,1.322980561833248e-05
10000,100.0,91,0.027528564085501018,0.027185,0.027515323761568122,0.00034356408550101705,1.3240323932895565e-05
10000,100.0,92,0.02994955440464143,0.030025,0.02990796061040434,7.544559535856837e-05,4.159379423709225e-05
10000,100.0,93,0.03222984523136072,0.03212,0.03215909743054122,0.00010984523136071955,7.074780081950394e-05
10000,100.0,94,0.034311312777578554,0.03368,0.03421180577716967,0.0006313127775785521,9.950700040888688e-05
10000,100.0,95,0.036139060539052796,0.035605,0.03601242713386734,0.0005340605390527983,0.00012663340518545563
10000,100.0,96,0.03766386728148577,0.03834,0.037512944931108703,0.0006761327185142302,0.00015092235037706542
10000,100.0,97,0.03884441753154629,0.038215,0.03867313910423476,0.0006294175315462933,0.0001712784273115303
10000,100.0,98,0.0396491720071367,0.039415,0.03946238684105658,0.00023417200713669872,0.00018678516608011675
10000,100.0,99,0.040057759536357776,0.03969,0.03986099680914883,0.0003677595363577729,0.00019676272720894894
10000,100.0,100,0.040061805773997976,0.03998,0.03986099680914883,8.180577399797412e-05,0.00020080896484914873
10000,100.0,101,0.039665154231753715,0.04027,0.039466333474405736,0.0006048457682462857,0.00019882075734797833
10000,100.0,102,0.03888347808943435,0.038975,0.03869248379843617,9.152191056565478e-05,0.00019099429099817683
10000,100.0,103,0.0377433231466969,0.037225,0.037565518250909646,0.0005183231466968988,0.00017780489578725356
10000,100.0,104,0.03628065939968206,0.036695,0.03612069062587302,0.00041434060031794034,0.00015996877380904106
10000,100.0,105,0.0345390481408683,0.03477,0.034400657738927164,0.00023095185913170335,0.00013839040194113528
10000,100.0,106,0.032567551110305425,0.03219,0.032453450697099186,0.0003775511103054213,0.00011410041320623898
10000,100.0,107,0.030418517009767273,0.03068,0.030330327754301917,0.00026148299023272606,8.818925546535614e-05
10000,100.0,108,0.028145378673839896,0.02768,0.02808363680953677,0.000465378673839896,6.174186430312617e-05
10000,100.0,109,0.025800582507664593,0.02613,0.025764804412420173,0.00032941749233540707,3.577809524442019e-05
10000,100.0,110,0.023433752211367488,0.023415,0.023422549465837085,1.8752211367489835e-05,1.1202745530403124e-05
10000,100.0,111,0.021090163743074392,0.021095,0.021101395915167565,4.836256925606908e-06,1.1232172093172954e-05
10000,100.0,112,0.018809580560553568,0.018745,0.01884053206711269,6.458056055356695e-05,3.095150655912232e-05
10000,100.0,113,0.016625469972331563,0.016425,0.016673037227533445,0.00020046997233156422,4.756725520188229e-05
10000,100.0,114,0.01456459521684292,0.015125,0.014625471252223169,0.0005604047831570796,6.0876035380248716e-05
10000,100.0,115,0.012646955495182854,0.012525,0.012717801088890247,0.00012195549518285477,7.084559370739221e-05
10000,100.0,116,0.010886028828731239,0.0105,0.010963621628353562,0.0003860288287312382,7.759279962232281e-05
10000,100.0,117,0.009289260894908615,0.0094,0.009370616776370234,0.00011073910509138557,8.135588146161894e-05
10000,100.0,118,0.007858736981920272,0.008065,0.00794120065794111,0.00020626301807972688,8.24636760208379e-05
10000,100.0,119,0.00659197341946897,0.006415,0.006673277863815284,0.00017697341946897038,8.130444434631401e-05
10000,100.0,120,0.005482768464607578,0.005455,0.0055610648865139405,2.7768464607578168e-05,7.829642190636255e-05
10000,100.0,121,0.004522059640130529,0.004635,0.004595921393812611,0.00011294035986947164,7.386175368208261e-05
10000,100.0,122,0.0036987437643267295,0.00383,0.0037671486834531384,0.00013125623567327056,6.840491912640887e-05
10000,100.0,123,0.0030004262875663293,0.0031,0.0030627225068723504,9.957371243367059e-05,6.229621930602114e-05
10000,100.0,124,0.0024140770969485656,0.002515,0.0024699375055419795,0.00010092290305143423,5.58604085934139e-05
10000,100.0,125,0.001926579831073282,0.001845,0.0019759500044336134,8.157983107328183e-05,4.9370173360331485e-05
10000,100.0,126,0.0015251704210472177,0.001525,0.0015682142892332097,1.704210472175654e-07,4.304386818599205e-05
10000,100.0,127,0.0011977676558488361,0.001195,0.00123481440097101,2.767655848836051e-06,3.704674512217381e-05
10000,100.0,128,0.0009332039193878065,0.00102,0.0009646987507585706,8.679608061219356e-05,3.149483137076408e-05
10000,100.0,129,0.0007213678719157117,0.000765,0.0007478284889601254,4.363212808428823e-05,2.646061704441368e-05
10000,100.0,130,0.0005532729031518845,0.000605,0.0005752526838154309,5.1727096848115466e-05,2.197978066354638e-05
10000,100.0,131,0.0004210658920661714,0.000415,0.0004391241861187044,6.065892066171397e-06,1.8058294052533024e-05
10000,100.0,132,0.0003179904567453887,0.000315,0.00033266983796868203,2.9904567453887133e-06,1.4679381223293303e-05
10000,100.0,133,0.00023831775098478975,0.000205,0.00025012769772081857,3.3317750984789756e-05,1.1809946736028815e-05
10000,100.0,134,0.00017725623767131266,0.000185,0.00018666246098569974,7.743762328687342e-06,9.40622331438708e-06
10000,100.0,135,0.0001308499843523014,0.000105,0.00013826848961903673,2.58499843523014e-05,7.4185052667353276e-06
