horizon,x,empirical_density,analytical_cauchy_density_scale_n,abs_diff
1,18.5,0.0009170965028728934,0.0009273412561800166,1.0244753307123134e-05
1,19.5,0.0008056262097060224,0.0008349111768755165,2.9284967169494096e-05
1,20.5,0.0006840222535239813,0.0007556317772908978,7.160952376691649e-05
1,21.5,0.0006080197809102056,0.0006871233376876216,7.910355677741591e-05
1,22.5,0.0007245569055846617,0.0006275207219000309,9.703618368463087e-05
1,23.5,0.0006029529494026206,0.0005753454788681259,2.7607470534494636e-05
1,24.5,0.0006181534439253757,0.0005294135321144128,8.87399118109629e-05
1,25.5,0.0004154801836219738,0.0004887675795528456,7.328739593087175e-05
1,26.5,0.0003800123630688785,0.00045262692667442684,7.261456360554833e-05
1,27.5,0.000430680678144729,0.0004203498001766797,1.03308779680493e-05
1,28.5,0.000435747509652314,0.0003914047171027245,4.434279254958949e-05
1,29.5,0.000324277216485443,0.00036534850638024756,4.107128989480456e-05
1,30.5,0.00027867573291717756,0.0003418092737544061,6.313354083722857e-05
1,31.5,0.0002685420699020075,0.00032047307947021464,5.1931009568207136e-05
1,32.5,0.00033441087950061306,0.0003010734321908637,3.3337447309749336e-05
1,33.5,0.0002888093959323477,0.00028338293895730307,5.426456975044609e-06
1,34.5,0.00029894305894751774,0.00026720662009132483,3.1736438856192904e-05
1,35.5,0.0002685420699020075,0.00025237652026465065,1.6165549637356847e-05
1,36.5,0.00024827474387166727,0.00023874733634636467,9.527407525302599e-06
1,37.5,0.00020267326030340188,0.00022619284859391772,2.3519588290515833e-05
1,38.5,0.00023307424934891215,0.00021460299085372707,1.8471258495185075e-05
1,39.5,0.0002077400918109869,0.00020388143230346881,3.8586595075180985e-06
1,40.5,0.00022800741784132712,0.00019394357117062647,3.406384667070065e-05
1,41.5,0.00017733910276547665,0.000184714862140601,7.3757593751243625e-06
1,42.5,0.00019760642879581682,0.00017612941551184988,2.1477013283966942e-05
1,43.5,0.0001520049452275514,0.0001681288187950829,1.6123873567531485e-05
1,44.5,0.0001520049452275514,0.00016066114129150317,8.656196063951756e-06
1,45.5,0.0001722722712578916,0.00015368008988957908,1.8592181368312513e-05
1,46.5,0.00016720543975030653,0.00014714429038890128,2.0061149361405253e-05
1,47.5,0.00016720543975030653,0.0001410166734671794,2.6188766283127135e-05
1,48.5,0.00012667078768962618,0.0001352639482349052,8.59316054527902e-06
1,49.5,0.00013680445070479627,0.00012985614938655407,6.948301318242196e-06
2,-99.0,6.838593985076669e-05,6.492807469327703e-05,3.457865157489653e-06
2,-97.0,5.825468950250495e-05,6.76319741174526e-05,9.377284614947646e-06
2,-95.0,4.812343915424322e-05,7.05083367335897e-05,2.2384897579346475e-05
2,-93.0,7.851719019902841e-05,7.357214519445064e-05,4.94504500457777e-06
2,-91.0,8.358281537315928e-05,7.684004494478954e-05,6.742770428369739e-06
2,-89.0,8.864844054729014e-05,8.033057064575158e-05,8.317869901538561e-06
2,-87.0,9.118125313435558e-05,8.406440939754145e-05,7.11684373681413e-06
2,-85.0,9.624687830848645e-05,8.806470775592494e-05,8.182170552561505e-06
2,-83.0,8.611562796022471e-05,9.23574310703005e-05,6.241803110075794e-06
2,-81.0,9.877969089555188e-05,9.697178558531324e-05,1.8079053102386448e-06
2,-79.0,0.00010637812865674817,0.00010194071615173441,4.437412505013761e-06
2,-77.0,7.091875243783212e-05,0.00010730149542686354,3.6382742989031415e-05
2,-75.0,0.00011904219159207534,0.00011309642429695886,5.94576729511648e-06
2,-73.0,0.00012157500417914077,0.00011937366817318233,2.201336005958437e-06
2,-71.0,0.00012664062935327164,0.00012618826013232533,4.5236922094631267e-07
2,-69.0,0.00010637812865674817,0.00013360331004566242,2.722518138891425e-05
2,-67.0,0.00015196875522392595,0.00014169146947865153,1.0277285745274417e-05
2,-65.0,0.00017223125592044942,0.00015053671609543186,2.169453982501756e-05
2,-63.0,0.0001798296936816457,0.00016023653973510732,1.9593153946538392e-05
2,-61.0,0.000169698443333384,0.00017090463687720306,1.2061935438190618e-06
2,-59.0,0.00017476406850751484,0.00018267425319012378,7.910184682608938e-06
2,-57.0,0.00022542032024882352,0.00019570235855136226,2.9717961697461263e-05
2,-55.0,0.00020515781955230005,0.00021017490008833984,5.017080536039788e-06
2,-53.0,0.00023555157059708523,0.00022631346333721342,9.23810725987181e-06
2,-51.0,0.0002304859454229544,0.0002443837897764228,1.3897844353468402e-05
2,-49.0,0.0002482156335324124,0.0002647067660572064,1.6491132524794024e-05
2,-47.0,0.0003014046978607865,0.00028767273943406296,1.3731958426723518e-05
2,-45.0,0.0002836750097513285,0.00031376036095001543,3.0085351198686947e-05
2,-43.0,0.00029887188527372106,0.0003435616688438108,4.468978357008972e-05
2,-41.0,0.0004432422027364507,0.0003778158886454489,6.542631409100184e-05
2,-39.0,0.00045084064049764704,0.00041745558843775827,3.338505205988877e-05
2,-37.0,0.0004913656418906939,0.0004636706280900083,2.7695013800685636e-05
2,-35.0,0.0005572187691543952,0.0005179981874431093,3.922058171128588e-05
2,-33.0,0.0006104078334827692,0.000582451758799251,2.7956074683518255e-05
2,-31.0,0.0006635968978111434,0.0006597096086710688,3.887289140074566e-06
2,-29.0,0.0008105000278609384,0.0007533961803166643,5.71038475442741e-05
2,-27.0,0.0008611562796022471,0.0008685126498875599,7.356370285312749e-06
2,-25.0,0.001071379724328678,0.001012114105512848,5.9265618815830144e-05
2,-23.0,0.0012182828543784731,0.0011944085785508094,2.3874275827663778e-05
2,-21.0,0.0015247531774133904,0.0014306062300395088,9.414694737388163e-05
2,-19.0,0.0017375094347268868,0.0017441637599111817,6.654325184294891e-06
2,-17.0,0.002276998515771824,0.0021727637282170013,0.0001042347875548225
2,-15.0,0.0027202407185082747,0.002779999005971971,5.975828746369654e-05
2,-13.0,0.0038676048204489156,0.0036798830772692566,0.00018772174317965894
2,-11.0,0.005298643932140885,0.005092958178940651,0.00020568575320023368
2,-9.0,0.00755284713462912,0.0074896443807950745,6.320275383404558e-05
2,-7.0,0.01241078167662062,0.012011693818256251,0.0003990878583643685
2,-5.0,0.022899158599658576,0.021952405943709702,0.0009467526559488737
2,-3.0,0.05230257992290119,0.048970751720583176,0.0033318282023180115
2,-1.0,0.1272510371867544,0.12732395447351627,7.291728676186993e-05
2,1.0,0.12600995901909234,0.12732395447351627,0.0013139954544239274
2,3.0,0.051502211145388506,0.048970751720583176,0.0025314594248053296
2,5.0,0.022676271091996818,0.021952405943709702,0.0007238651482871158
2,7.0,0.012180295731197666,0.012011693818256251,0.0001686019129414143
2,9.0,0.007654159638111738,0.0074896443807950745,0.00016451525731666326
2,11.0,0.00538475956010111,0.005092958178940651,0.0002918013811604586
2,13.0,0.0037384313785085786,0.0036798830772692566,5.854830123932196e-05
2,15.0,0.0028367500975132846,0.002779999005971971,5.675109154131344e-05
2,17.0,0.0021630219493538796,0.0021727637282170013,9.741778863121744e-06
2,19.0,0.0017451078724880832,0.0017441637599111817,9.441125769014784e-07
