horizon,k,p_convolution_exact,p_convolution_empirical,p_path_count,abs_diff_exact,abs_diff_empirical
500,15,5.767082557171824e-123,3.4066091766799347e-124,5.767082557171825e-123,1.3435752215134178e-138,5.4264216395038315e-123
500,16,1.7481469001427083e-121,1.0450947455947606e-122,1.7481469001427096e-121,1.289832212652881e-136,1.6436374255832335e-121
500,17,4.977077056876887e-120,3.011367096751517e-121,4.977077056876891e-120,4.1274630804892193e-135,4.675940347201739e-120
500,18,1.3355156769286313e-118,8.178053038102888e-120,1.3355156769286324e-118,1.1006568214637918e-133,1.2537351465476036e-118
500,19,3.387992401471581e-117,2.0996889197033706e-118,3.387992401471583e-117,2.1132610972104803e-132,3.178023509501246e-117
500,20,8.148121725539154e-116,5.110714650903343e-117,8.148121725539157e-116,3.3812177555367685e-131,7.637050260448823e-116
500,21,1.8624278229803777e-114,1.182265924417077e-115,1.8624278229803788e-114,1.0819896817717659e-129,1.744201230538671e-114
500,22,4.055013305489096e-113,2.6051911928962607e-114,4.055013305489098e-113,1.7311834908348255e-128,3.7944941861994716e-113
500,23,8.427375478364296e-112,5.479630297199016e-113,8.427375478364298e-112,1.8465957235571472e-127,7.879412448644396e-112
500,24,1.6749408763249035e-110,1.1022243266576604e-111,1.6749408763249044e-110,8.863659473074306e-126,1.5647184436591383e-110
500,25,3.1890874285226165e-109,2.123970753183021e-110,3.189087428522618e-109,1.418185515691889e-124,2.976690353204316e-109
500,26,5.826217417493244e-108,3.927176228170975e-109,5.826217417493244e-108,0.0,5.433499794676146e-108
500,27,1.0228248355154809e-106,6.977607948975183e-108,1.0228248355154806e-106,2.420369946780824e-122,9.530487560257288e-107
500,28,1.7278433828529369e-105,1.1929473308509822e-106,1.7278433828529369e-105,0.0,1.6085486497678387e-105
500,29,2.812214057608918e-104,1.9650647575197163e-105,2.812214057608918e-104,0.0,2.615707581856946e-104
500,30,4.415176070446e-103,3.122396961088321e-104,4.4151760704460014e-103,1.4870752953021382e-118,4.1029363743371695e-103
500,31,6.693976622934258e-102,4.791107065430584e-103,6.69397662293426e-102,1.5862136483222808e-117,6.214865916391201e-102
500,32,9.81085948798802e-101,7.106738521658283e-102,9.810859487988024e-101,3.806912755973474e-116,9.100185635822196e-101
500,33,1.3913582546601192e-99,1.020032116915094e-100,1.3913582546601198e-99,6.091060409557558e-115,1.2893550429686104e-99
500,34,1.9110714850772812e-98,1.4179581269704848e-99,1.9110714850772822e-98,9.745696655292093e-114,1.7692756723802336e-98
500,35,2.544455177274324e-97,1.9107016329153652e-98,2.5444551772743243e-97,5.19770488282245e-113,2.3533850139827877e-97
500,36,3.286587937312669e-96,2.4977842523515497e-97,3.286587937312669e-96,0.0,3.0368095120775144e-96
500,37,4.121558926792104e-95,3.1701716364393544e-96,4.121558926792104e-95,0.0,3.804541763148169e-95
500,38,5.021794166065116e-94,3.9092348948359896e-95,5.021794166065116e-94,0.0,4.6308706765815167e-94
500,39,5.94889462749252e-93,4.686846516387329e-94,5.948894627492522e-93,1.7031839360032603e-108,5.480209975853789e-93
500,40,6.856101058185132e-92,5.466800959554542e-93,6.856101058185132e-92,0.0,6.309420962229678e-92
500,41,7.692210943329661e-91,6.207530087950776e-92,7.69221094332966e-91,1.0900377190420866e-106,7.071457934534583e-91
500,42,8.4064876737817e-90,6.865842311563723e-91,8.4064876737817e-90,0.0,7.719903442625327e-90
500,43,8.953886871144231e-89,7.4012051690804425e-90,8.953886871144229e-89,2.7904965607477417e-104,8.213766354236185e-89
500,44,9.299832500256622e-88,7.779963569698604e-89,9.29983250025662e-88,2.2323972485981933e-103,8.52183614328676e-88
500,45,9.423830266926712e-87,7.978871826758905e-88,9.423830266926708e-87,3.5718355977571093e-102,8.625943084250817e-87
500,46,9.321397329242725e-86,7.987422363009257e-87,9.321397329242722e-86,2.8574684782056875e-101,8.522655092941796e-86
500,47,9.00407316484297e-85,7.80865510364964e-86,9.00407316484297e-85,0.0,8.223207654478006e-85
500,48,8.497594049320553e-84,7.458385074037994e-85,8.497594049320553e-84,0.0,7.751755541916753e-84
500,49,7.838596959781408e-83,6.963037805990975e-84,7.838596959781408e-83,0.0,7.14229317918231e-83
500,50,7.070414457722829e-82,6.3564829593660786e-83,7.07041445772283e-82,1.1704190886730496e-97,6.434766161786223e-82
500,51,6.238600992108381e-81,5.676371633142037e-82,6.238600992108379e-81,1.8726705418768793e-96,5.670963828794175e-81
500,52,5.386792010493582e-80,4.960499552043917e-81,5.386792010493582e-80,0.0,4.89074205528919e-80
500,53,4.5533638126436325e-79,4.243646069077804e-80,4.553363812643631e-79,1.1985091468012028e-94,4.128999205735851e-79
