horizon,k,p_convolution_exact,p_convolution_empirical,abs_diff
500,2015,2.930959154379902e-13,5.129401064252355e-13,2.1984419098724528e-13
500,2016,2.434318655965387e-13,4.2718431625753237e-13,1.837524506609937e-13
500,2017,2.0203579957229422e-13,3.5550776779355353e-13,1.534719682212593e-13
500,2018,1.6755690201019512e-13,2.9564319594800964e-13,1.2808629393781452e-13
500,2019,1.388606668191682e-13,2.4568097494359407e-13,1.0682030812442587e-13
500,2020,1.1499499758710697e-13,2.0401394528547391e-13,8.901894769836695e-14
500,2021,9.51614984130383e-14,1.692905496947242e-13,7.41290512816859e-14
500,2022,7.869118032451208e-14,1.4037505915026126e-13,6.168387882574918e-14
500,2023,6.502392094382475e-14,1.1631384388093224e-13,5.1289922937107487e-14
500,2024,5.3691111725599415e-14,9.630679387530934e-14,4.261568214970993e-14
500,2025,4.430101006389294e-14,7.968312242486704e-14,3.53821123609741e-14
500,2026,3.6526384731368884e-14,6.588089716829781e-14,2.9354512436928924e-14
500,2027,3.009410409183664e-14,5.442973848510146e-14,2.4335634393264823e-14
500,2028,2.4776368730947985e-14,4.493620700598598e-14,2.0159838275037996e-14
500,2029,2.0383334800331034e-14,3.707147230181842e-14,1.6688137501487388e-14
500,2030,1.6756912526146223e-14,3.056091507688878e-14,1.3804002550742557e-14
500,2031,1.3765556909222574e-14,2.5175366810520023e-14,1.1409809901297449e-14
500,2032,1.129989543138964e-14,2.0723734964001795e-14,9.423839532612156e-15
500,2033,9.269061263967172e-15,1.7046799637266947e-14,7.777738373299775e-15
500,2034,7.597620638231342e-15,1.401199982148142e-14,6.4143791832500786e-15
500,2035,6.223000191112079e-15,1.1509054927647313e-14,5.2860547365352345e-15
500,2036,5.093334678775762e-15,9.446290749209829e-15,4.352956070434066e-15
500,2037,4.165667831295591e-15,7.74755901810224e-15,3.5818911868066485e-15
500,2038,3.404449625556437e-15,6.349656738212932e-15,2.9452071126564955e-15
500,2039,2.780282157393991e-15,5.200165958063217e-15,2.419883800669226e-15
500,2040,2.2688738347632816e-15,4.255646945563087e-15,1.986773110799805e-15
500,2041,1.8501679944642276e-15,3.4801281700500764e-15,1.6299601755858489e-15
500,2042,1.5076174392976196e-15,2.843845353416083e-15,1.3362279141184635e-15
500,2043,1.2275809489307347e-15,2.3221893571427416e-15,1.0946084082120069e-15
500,2044,9.988216629790384e-16,1.894829026138059e-15,8.960073631590207e-16
500,2045,8.120904769979452e-16,1.5449804851522802e-15,7.328900081543349e-16
500,2046,6.597803233907071e-16,1.2587989261389296e-15,5.990186027482226e-16
500,2047,5.356395081492102e-16,1.0248727607200173e-15,4.892332525708071e-16
500,2048,4.3453420760768604e-16,8.338032480386041e-16,3.992690404309181e-16
500,2049,3.522518537350421e-16,6.778554360908349e-16,3.256035823557928e-16
