series,forecaster,rmse
S4: AR(1) explosive,PT-univ,1.0198438216999945
S4: AR(1) explosive,PT-univ-quad,2308983050460.9536
S4: AR(1) explosive,PT-univ-quad,2963156959481.599
S4: AR(1) explosive,PT-univ-quad,772505824396.712
S4: AR(1) explosive,PT-univ-quad,1783946634242.2776
S4: AR(1) explosive,PT-univ-quad,874506017586.3584
S4: AR(1) explosive,PT-univ-quad,1614385799435.727
S4: AR(1) explosive,PT-univ-quad,936651520510.389
S4: AR(1) explosive,PT-univ-quad,136819293.82789865
S4: AR(1) explosive,PT-univ-quad,128586789670.82574
S4: AR(1) explosive,PT-univ-quad,663166060539.7377
S4: AR(1) explosive,PT-univ-quad,690721432372.46
S4: AR(1) explosive,PT-univ-quad,109063579.34582709
S4: AR(1) explosive,PT-univ-quad,2015090555284.3254
S4: AR(1) explosive,PT-univ-quad,1272762915506.4001
S4: AR(1) explosive,PT-univ-quad,1521728469495.53
S4: AR(1) explosive,PT-univ-quad,1076594714563.4392
S4: AR(1) explosive,PT-univ-quad,2310557763516.6724
S4: AR(1) explosive,PT-univ-quad,2292552500681.656
S4: AR(1) explosive,PT-univ-quad,996048318755.6863
S4: AR(1) explosive,PT-univ-quad,2248502478932.5806
S4: AR(1) explosive,OLS-AR(1),1.0919642687179423
S4: AR(1) explosive,OLS-AR(1),1.0802042073130658
S4: AR(1) explosive,OLS-AR(1),0.948170171546795
S4: AR(1) explosive,OLS-AR(1),1.0103799554327104
S4: AR(1) explosive,OLS-AR(1),1.1521305737204246
S4: AR(1) explosive,OLS-AR(1),1.166629141234921
S4: AR(1) explosive,OLS-AR(1),1.0675500028057163
S4: AR(1) explosive,OLS-AR(1),0.9128091802705822
S4: AR(1) explosive,OLS-AR(1),1.02910328125346
S4: AR(1) explosive,OLS-AR(1),1.0624883136275907
S4: AR(1) explosive,OLS-AR(1),0.9896092041846593
S4: AR(1) explosive,OLS-AR(1),1.1052757580574966
S4: AR(1) explosive,OLS-AR(1),1.070832470233066
S4: AR(1) explosive,OLS-AR(1),1.1135418558954255
S4: AR(1) explosive,OLS-AR(1),0.9808944123332801
S4: AR(1) explosive,OLS-AR(1),1.0433735647078293
S4: AR(1) explosive,OLS-AR(1),1.1055114556461862
S4: AR(1) explosive,OLS-AR(1),0.9718412858751241
S4: AR(1) explosive,OLS-AR(1),1.10386051376312
